GW170817
(1)  2017ApJ...848L..21A
TSTART           Freq         Flux            ErrFlux   Instrument Ref
 (mjd)           (GHz)        (uJy)           (uJy) 
--------------------------------------------------------------------------------------------
57983.09854	9.7	0	48	VLA	(1)
57983.96854	10	0	4.6	VLA	(1)
57984.93854	97.5	0	25	ALMA	(1)
57984.94854	15	0	5.9	VLA	(1)
57984.96854	10	0	5.7	VLA	(1)
57984.98854	6	0	7.3	VLA	(1)
57988.00854	10	0	9.5	VLA	(1)
57990.81854	10	0	5.8	VLA	(1)
57991.95854	97.5	0	24	ALMA	(1)
57995.93854	10	0	6.1	VLA	(1)
57997.85854	97.5	0	13	ALMA	(1)
58001.95854	10	0	4.5	VLA	(1)
58001.99854	6	19	6	VLA	(1)
58012.86854	97.5	0	14	ALMA	(1)
58021.75854	6	27	6	VLA	(1)
