GW170817
(1)  2017arXiv171005435H
TSTART          Freq         Flux            ErrFlux   Instrument Ref
 (mjd)           (GHz)        (uJy)           (uJy) 
--------------------------------------------------------------------------------------------
57983.20854	8.5	120	0	ATCA	(2)
57983.20854	10.5	150	0	ATCA	(2)
57983.45854	0.61	195	0	GMRT	(2)
57983.91854	10	15.4	0	VLA	(2)
57983.96854	0.3387	34800	0	VLITE/VLA	(2)
57984.94854	6.2	20	0	VLA	(2)
57984.94854	9.7	17	0	VLA	(2)
57984.94854	15	22	0	VLA	(2)
57984.96854	0.3387	28800	0	VLITE/VLA	(2)
57985.30854	0.4	780	0	GMRT	(2)
57985.45854	1.2	98	0	GMRT	(2)
57985.86854	3	32	0	VLA	(2)
57985.86854	0.3387	44700	0	VLITE/VLA	(2)
57986.22854	8.5	135	0	ATCA	(2)
57986.22854	10.5	99	0	ATCA	(2)
57987.87854	6.2	19	0	VLA	(2)
57990.89854	0.3387	37500	0	VLITE/VLA	(2)
57992.89854	6.2	7.8	2.6	VLA	(2)
57993.17854	8.5	54	0	ATCA	(2)
57993.17854	10.5	39	0	ATCA	(2)
57994.44854	0.7	123	0	GMRT	(2)
57995.97854	6.2	23	0	VLA	(2)
57995.97854	0.3387	20400	0	VLITE/VLA	(2)
57996.45854	0.4	600	0	GMRT	(2)
57997.89854	6.2	13	0	VLA	(2)
57997.89854	0.3387	11400	0	VLITE/VLA	(2)
57998.88854	0.3387	11700	0	VLITE/VLA	(2)
57998.94854	3	18.7	6.3	VLA	(2)
57999.00854	6.2	28.3	5.4	VLA	(2)
57999.91854	3	15.1	3.9	VLA	(2)
57999.92854	0.3387	6900	0	VLITE/VLA	(2)
58001.18854	7.25	25	6	ATCA	(2)
58001.51854	0.7	140	0	GMRT	(2)
58001.87854	6.2	15.9	5.5	VLA	(2)
58003.88854	6.2	13.6	2.9	VLA	(2)
58003.88854	0.3387	8100	0	VLITE/VLA	(2)
58004.88854	3	22.5	3.4	VLA	(2)
58004.89854	0.3387	6300	0	VLITE/VLA	(2)
58005.88854	0.3387	4800	0	VLITE/VLA	(2)
58005.88854	6	22.6	3.4	VLA	(2)
58006.78854	3	25.6	2.9	VLA	(2)
58006.87854	0.3387	6600	0	VLITE/VLA	(2)
58013.74854	3	34	3.6	VLA	(2)
